customer_complaint,date,city,state,zip_code,description,fcc_comments,predictions
fraudulent charges,42124,Jupiter,Florida,33478,"My internet has not been working properly for months. Comcast the provider has been spoken to regarding this several times this year.
 Comcast service personnel to fix problem and unable to do so. Second time personnel serviced my home he found that the wiring for the internet and cable was old and outdated. Cable wiring was from Adelhia hich Comcast bought years back. Rep then explained to me what he had done how he had to rewire house and that another company would come out to bury cable. From then on the internet has worked without problems. Now Comcast wants to charge me 39.95 plus tax for this service. Now no one ever mentioned that I would be charged. When contacted Comcast for a credit they said 'NO"". Never mind all the months I paid for internet which I never received. As is I don't get my on demand when I request it, but I still pay for it every month.
 Prompt consideration to this matter is truly appreciated.
 ","
 Follow-up message by FCC on 5/1/2015 10:16:08 AM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.",Billings
Unable to cancel poor internet service,42168,Oakland,California,94612,"Comcast has consistently provided unethical and poor service, and is the only telecom option available. I have made several attempts to cancel, and they have resisted every potential avenue. Their service also claims disingenuously high speeds that are not realized in practice.
 ","
 Follow-up message by FCC on 6/16/2015 9:07:57 AM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 7/13/2015 12:48:06 PM:
 Hi ,
 Your Ticket No. 339206 was served on your carrier for its review and response.
 Your carrier has provided the FCC with a response to your complaint. You should receive a copy of the response from the carrier within 7-10 days via postal mail. As such, no further action is required. Your complaint is closed.
 Thank you for your complaint and help in furthering the FCC’s mission on behalf of consumers.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 7/13/2015 12:49:11 PM:
 Hi James,
 Your Ticket No. 339206 was served on your carrier for its review and response.
 Your carrier has provided the FCC with a response to your complaint. You should receive a copy of the response from the carrier within 7-10 days via postal mail. As such, no further action is required. Your complaint is closed. (b) (6)
 Thank you for your complaint and help in furthering the FCC’s mission on behalf of consumers.",Internet Problems
Billing & Data Usage,42178,Canton,Mississippi,39046,"Comcast notified of three courtesy months of exceeding 500GB per month data usage. Yet, we incurred $10 Speed Boost charges after first month of using only 90% of 500GB. The speed boost charge is actually for data and this is deceiving to call it ""speed"". Secondly we incurred charges during the ""curtsey"" months. Monthly rate for modem lease jumped from $7 to $10 and it's the same equipment we've had for several years. Why should we pay more without being notified for equipment that's the same, not newer? Each time we attempt to call billing we're disconnected so I cannot speak with a representative about our billing inconsistencies.
 ","
 Follow-up message by FCC on 6/24/2015 11:41:53 AM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 7/24/2015 7:21:43 AM:
 Hi
 Your Ticket No. 358063 was served on your carrier for its review and response.
 Your carrier has provided the FCC with a response to your complaint. You should receive a copy of the response from the carrier within 7-10 days via postal mail. As such, no further action is required. Your complaint is closed.
 Thank you for your complaint and help in furthering the FCC’s mission on behalf of consumers.",Billings
Comcast data caps,42118,Collierville,Tennessee,38017,"I am being pseudo-billed (1 last allowance until they start charging) on overages based on an inaccurate data counter by Comcast. With the size of games, and media (4k netflix, amazon, etc) Comcast should no longer be able to advertise their ""services"" as something ""gamers would want,"" because we burn through our ""allotted data"" in less than a week and get charged for overages.
 Net neutraility is being breached in a terrible way with the imposition of these data caps. No longer do I feel free to check something or watch something with these limits.
 The absolute monopoly of this business in Memphis,tn is atrocious and now they are using data caps to to squeeze even more money out of us.
 Please help us!
 ","
 Follow-up message by FCC on 4/29/2015 11:38:18 AM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.",Data Caps
comcast deceving upgrade without request,42105,Miami,Florida,33177,"Several months ago got a letter from Comcast saying my modem was too old and needed to be replaced for a new one, type 3, bough my own , tried to connected several times , couldn't make it work . The company send technician to my house , he couldn't make it work , the company bill me for this service, call several times , removed the charges. I was told there were problems outside the house , never heard from then , connected old modem . two months ago got another call from Comcast to connect the modem and finally works. now I got a bil for double price of my previous service, never requested updage
 ","
 Follow-up message by FCC on 4/20/2015 10:50:31 AM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 5/19/2015 12:18:24 PM:
 Request #293037 ""Comcast service"" was closed and merged into this request. Last comment in request #293037:
 .follow up complain false service
 waiting for six months for repair outside my house and being charge for maximum speed while they cannot deliver due to problem outside house
 now had to get TV service due to increased in prices , forced to update modem while never told this would incur in increase in price of service
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 5/19/2015 12:21:15 PM:
 Request #293038 ""Comcast service"" was closed and merged into this request. Last comment in request #293038:
 .follow up complain false service
 waiting for six months for repair outside my house and being charge for maximum speed while they cannot deliver due to problem outside house
 now had to get TV service due to increased in prices , forced to update modem while never told this would incur in increase in price of service",Billings
comcast internet,42181,Decherd,Tennessee,37324,"Internet usage with Comcast has sky rocketed in one month from 70gb to 330 gb only thing different is getting new modem from Comcast, tried calling Comcast they won't help,
 ","
 Follow-up message by FCC on 6/30/2015 11:32:34 AM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 7/31/2015 8:08:37 AM:
 Hi
 Your Ticket No. 367526 was served on your carrier for its review and response.
 Your carrier has provided the FCC with a response to your complaint. You should receive a copy of the response from the carrier within 7-10 days via postal mail. As such, no further action is required. Your complaint is closed.
 Thank you for your complaint and help in furthering the FCC’s mission on behalf of consumers.",Billings
Comcast Bundled Services,42171,Lindenwold,New Jersey,8021,"I filed a complaint under request# 344358 regarding Comcast's billing me for phone services that were not received. However, since I am receiving ""bundled services"" from Comcast this same issues also apply to my Internet services. Since I am not certain whether both issues will be addressed in my previous request regarding the billing for non-existent phone services, I am also filing a complaint regarding Comcast's failure to properly give me credit for internet services which were likewise not received.
 In May of 2014, I changed my services with Comcast to ""Xfinity Bundled Services which included TV, home (wired) phone and internet. However, despite several complaints/service calls, I had no phone service until 8/24/14 (after yet another service call for which I was also billed) and in order to go online I had to unplug the TV from the modem and could not watch TV. It was either Internet or TV and no phone services at all.
 Since then I have tried to get credit for not having phone and Internet service from Comcast from 5/2014 through 8/24/14 but to no avail. After spending countless hours on numerous days waiting to speak with numerous customer service representative I was transferred from one agent to another and at one point even accused of fabricating stories. Finally, on 12/2/14 I was advised by one representative that I absolutely should receive credit for the months I had no phone or internet service unless I unplugged the TV. She did in fact apply a credit of $33.57 and advised that since the problem continued over a long period of time I should receive additional credit which would be issued by the ""review"" department and I should receive additional credit and a call from that department within 72 hours. I never received a call or additional credit but instead, the credit applied on 12/2/14 had been added back into my bill on 12/8/14. No explanation, no call or anything as to why that amount was added back into my bill. Further, when I made a payment by phone (unable to pay online), I was charged a fee of $5.99 which had been paid and properly credited on 12/9/14. That payment was then ""reversed"" and added to my bill again without any explanation. On 12/13/14, I spoke to a ""Mary"" (confirmation# CR418200120) who again advised that I was eligible to receive credit for the months without service and I would get additional credit by 12/15/14. Again, no credit, no calls, no explanation and I am still waiting for my credit. Subsequent telephone calls had the identical result: one person telling me ""my story did not match their records"" (to which I took great offense) and another one telling me I was eligible for a credit.
 In addition, Comcast has recently developed a new strategy to get even more money from customers by sending shut-off notices for non-payment to customers which arrive the day after the shut-off date and services are already disconnected which then results in a re-connection fee of $15.00. In addition, Comcast's practice of charging one month in advance is likewise absurd, especially when demand for such payment is made before restoring service. I have no problem paying for the services I receive but I should also receive credit when no service was provided. I really need help in getting this matter resolved since it is blatantly clear that Comcast will just continue to give me the run-
 around and refuses to resolve this matter. It should be noted that this complaint is not just for the phone service but also involves the lack of service for internet.
 My alternate phone number is
 ","
 Follow-up message by Consumer on 6/16/2015 7:51:57 PM:
 I inadvertently submitted the complaint without the additional documents below.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by Consumer on 6/17/2015 3:19:58 PM:
 I would also ask that comcast be restrained from any collection activity and/disruption of services until this matter has been resolved and proper credits have been applied to any balance currently due.
 Sent via the Samsung Galaxy S™ III, an AT&T 4G LTE smartphone
 <div>-------- Original message --------</div><div>From: FCC <consumercomplaints@fcc.gov> </div><div>Date:06/16/2015 19:50 (GMT-05:00) </div><div>To: Fatou628 <fatou628@gmail.com> </div><div>Subject: Request received: Comcast Bundled Services </div><div>
 </div>
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by Consumer on 6/19/2015 11:03:06 AM:
 It should be noted that Comcast AGAIN turned off services without any notices having been received advising of a possible interruption and despite the pending complaints. This is indicative of Comcast's attitude towards its customers who, unfortunately, have no other alternatives for cable services. I am asking again that Comcast be restrained from interrupting services until the issue of credit and its practice of interrupting services before any notices are sent out.",Billings
ComCast continues to bill me though I canceled months ago,42148,Seattle,Washington,98109,"I took a 30 day trial of ComCast's internet service, and I canceled before the trial expired. They tried
 to talk me into staying, of course, but I was very clear that I wanted to cancel. I received phone calls
 from multiple individuals at ComCast, all of whom tried to talk me into remaining a customer. On the
 last call, the individual threatened that I had canceled a day AFTER the 30 day trial had expired,
 which, I informed him, was not true. I only had ComCast internet for a period of about 7 days before I
 canceled. That was in February, 2015.
 Ever since I canceled, they have been sending me bills. They indicate that the balance due is $54.34.
 Once in February they sent me a late notice, but ever since then they just send me a monthly bill. The
 odd thing is that the amount doesn't increase, and they don't send late notices anymore.
 When I call customer service, they tell me that my account does appear to be canceled, but they
 continue to bill me. I have wasted hours discussing the matter, and each time I have to explain the
 whole story from scratch.
 I have an excellent credit rating, and I want to be sure that it remains so. Furthermore, I consider it
 harassment to be sent bills month after month for a service that I canceled.
 Any help you can provide will be greatly appreciated.
 Thanks,
 (b) (6)",,Billings
Comcast slowing down,42178,Menlo Park,California,94025,"Since Thursday or Friday of last week, my internet has been much slower than usual. I don't know whether or not it's throttling, but it seems that many other people are also having issues. My family before had little to no issue streaming HD video simultaneously, now we're having buffering troubles on one.
 ","
 Follow-up message by FCC on 6/29/2015 3:16:37 PM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.
 - - - - - - - - - - - - - - - - - - - - -
 Follow-up message by FCC on 7/27/2015 2:16:16 PM:
 Hi
 Your Ticket No. 358746 was served on your carrier for its review and response.
 Your carrier has provided the FCC with a response to your complaint. You should receive a copy of the response from the carrier within 7-10 days via postal mail. As such, no further action is required. Your complaint is closed.
 Thank you for your complaint and help in furthering the FCC’s mission on behalf of consumers.",Internet Problems
shitty comcast,42177,Urbana,Illinois,61801,"Very slow speeds and inconsistent speeds for months on end, with no improvement
 ","
 Follow-up message by FCC on 7/8/2015 12:50:48 PM:
 This constitutes a notice of informal complaint filed with the FCC against your company. Your response to the consumer (with a copy to the FCC) is due no later than 30 days from the date of this notice.
 For more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.
 If you have any questions regarding this notice, please contact the FCC at carriersupport@fcc.gov.",Internet Problems
Comcast bundled service,42133,Commerce City,Colorado,80022,"I had Comcast Internet services/telephone,but decided to get their bundled service of, television and
 home security in March of 2015. I received a bill for $659 in April. My bill is usually $99 to $135. I
 called Comcast on April 10th and questioned why my bill was so high. I said I wanted items removed
 from my bill, such as the security and that I want a monthly payment to be no more than $200. The
 service rep said he removed them. We worked the monthly payment down to the price we agreed too.
 He got the overall bill down to $252 from the $659. This is what I paid at the end of April. However, in
 May,I received another bill for $754. This is after the $253 I paid for the April bill. I called Comcast
 they said they had no record of me calling in April to get these items adjusted on my bill. He is the
 kicker. I have proof and records that show that I spoke to Comcast for 31 minutes on April 10th. I told
 them I want everything removed and that I am closing my account because they are screwing me
 over. The said I would have to pay a $669 and $220 cancellation fees and the $754 bill. I only owe
 about $310 of the bill, not $754. I am writing a complaint to you because I cancelled a bunch of items
 and had a lot of items adjusted in April, yet they are still trying to charge me for them, on top of the
 installation fee for the home security. They want me to pay $1,643. How can I get this resolved?",,Billings
